Timing samples: mode=median repeats=5 warmup=1 metric=kernel_ms
CPU reference implemented: yes
GPU kernel implemented: yes

group   name              kernel                 H       H_out       K       S       P   block    grid    cpu    gpu    total_ms   kernel_ms
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     128     128   SKIP   SKIP      19.657       0.601
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     256       8   SKIP   SKIP      33.770       2.402
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     256      16   SKIP   SKIP      24.609       1.244
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     256      32   SKIP   SKIP      20.910       0.737
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     256      64   SKIP   SKIP      20.527       0.608
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     256     128   SKIP   SKIP      21.280       0.733
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     512       8   SKIP   SKIP      23.269       1.319
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     512      16   SKIP   SKIP      19.042       0.729
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     512      32   SKIP   SKIP      18.937       0.605
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     512      64   SKIP   SKIP      19.764       0.713
scale   scale_tensara_4   basic_ldg       16777216     8388608       4       2       1     512     128   SKIP   SKIP      19.874       0.627
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1      64       8   SKIP   SKIP     288.460      40.575
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1      64      16   SKIP   SKIP     155.767      19.280
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1      64      32   SKIP   SKIP      99.630       9.739
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1      64      64   SKIP   SKIP      76.473       5.036
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1      64     128   SKIP   SKIP      58.484       2.732
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     128       8   SKIP   SKIP     165.986      19.065
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     128      16   SKIP   SKIP      99.460       9.553
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     128      32   SKIP   SKIP      74.933       5.003
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     128      64   SKIP   SKIP      64.929       3.262
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     128     128   SKIP   SKIP      58.733       2.132
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     256       8   SKIP   SKIP     104.350       9.688
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     256      16   SKIP   SKIP      72.923       5.011
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     256      32   SKIP   SKIP      62.977       2.728
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     256      64   SKIP   SKIP      56.483       2.186
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     256     128   SKIP   SKIP      58.514       2.184
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     512       8   SKIP   SKIP      75.108       5.200
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     512      16   SKIP   SKIP      57.536       2.711
scale   scale_tensara_5   basic_ldg       33554432    33554432       3       1       1     512      32   SKIP   SKIP      53.498       2.139
